policy_id,dataset,num_rules,ga_fitness,ga_coverage,ga_diversity,ga_suite_size,ga_time_s,jcsce_fitness,jcsce_coverage,jcsce_diversity,jcsce_suite_size,jcsce_time_s,rand_fitness,rand_coverage,rand_diversity,rand_suite_size,rand_time_s,improvement_rand,improvement_jcsce
authzforce_0082.xml,authzforce,1,0.9223,1.0,0.6126,10,0.731,0.8493,1.0,0.6309,10,0.031,0.8287,1.0,0.6289,15,0.071,11.29,8.6
authzforce_0083.xml,authzforce,1,0.8154,1.0,0.0,9,0.314,0.672,1.0,0.0,7,0.011,0.64,1.0,0.0,15,0.036,27.41,21.34
authzforce_0084.xml,authzforce,1,0.8154,1.0,0.0,9,0.229,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.024,27.41,21.34
authzforce_0085.xml,authzforce,1,0.8154,1.0,0.0,9,0.23,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.022,27.41,21.34
authzforce_0086.xml,authzforce,1,0.8154,1.0,0.0,9,0.249,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.02,27.41,21.34
authzforce_0087.xml,authzforce,1,0.8154,1.0,0.0,9,0.503,0.672,1.0,0.0,7,0.009,0.64,1.0,0.0,15,0.022,27.41,21.34
authzforce_0088.xml,authzforce,1,0.8154,1.0,0.0,9,0.236,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.034,27.41,21.34
authzforce_0089.xml,authzforce,1,0.8154,1.0,0.0,9,0.207,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.028,27.41,21.34
authzforce_0090.xml,authzforce,1,0.8154,1.0,0.0,9,0.253,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.024,27.41,21.34
authzforce_0091.xml,authzforce,1,0.8154,1.0,0.0,9,0.243,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.026,27.41,21.34
authzforce_0092.xml,authzforce,1,0.8154,1.0,0.0,9,0.215,0.672,1.0,0.0,7,0.009,0.64,1.0,0.0,15,0.025,27.41,21.34
authzforce_0093.xml,authzforce,1,0.8154,1.0,0.0,9,0.255,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.034,27.41,21.34
authzforce_0094.xml,authzforce,1,0.8154,1.0,0.0,9,0.251,0.672,1.0,0.0,7,0.011,0.64,1.0,0.0,15,0.033,27.41,21.34
authzforce_0095.xml,authzforce,1,0.9223,1.0,0.6126,10,0.708,0.8493,1.0,0.6309,10,0.028,0.8287,1.0,0.6289,15,0.047,11.29,8.6
authzforce_0096.xml,authzforce,1,0.9223,1.0,0.6126,10,0.677,0.8493,1.0,0.6309,10,0.03,0.8287,1.0,0.6289,15,0.056,11.29,8.6
authzforce_0097.xml,authzforce,1,0.7965,1.0,0.0,9,0.308,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.02,24.45,18.53
authzforce_0098.xml,authzforce,1,0.7965,1.0,0.0,9,0.263,0.672,1.0,0.0,7,0.009,0.64,1.0,0.0,15,0.024,24.45,18.53
authzforce_0099.xml,authzforce,1,0.8154,1.0,0.0,9,0.187,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.029,27.41,21.34
authzforce_0100.xml,authzforce,1,0.8154,1.0,0.0,9,0.233,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.024,27.41,21.34
authzforce_0101.xml,authzforce,1,0.7965,1.0,0.0,9,0.201,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.043,24.45,18.53
authzforce_0102.xml,authzforce,1,0.7965,1.0,0.0,9,0.213,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.024,24.45,18.53
authzforce_0103.xml,authzforce,1,0.7965,1.0,0.0,9,0.189,0.672,1.0,0.0,7,0.009,0.64,1.0,0.0,15,0.029,24.45,18.53
authzforce_0104.xml,authzforce,1,0.7965,1.0,0.0,9,0.178,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.025,24.45,18.53
authzforce_0105.xml,authzforce,1,0.8154,1.0,0.0,9,0.29,0.672,1.0,0.0,7,0.012,0.64,1.0,0.0,15,0.034,27.41,21.34
authzforce_0106.xml,authzforce,1,0.8154,1.0,0.0,9,0.225,0.672,1.0,0.0,7,0.008,0.64,1.0,0.0,15,0.029,27.41,21.34
authzforce_0107.xml,authzforce,1,0.8469,1.0,0.0,9,0.188,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.025,32.33,26.03
authzforce_0108.xml,authzforce,1,0.8469,1.0,0.0,9,0.198,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.021,32.33,26.03
authzforce_0109.xml,authzforce,1,0.9582,1.0,0.556,10,0.682,0.8493,1.0,0.6309,10,0.03,0.8287,1.0,0.6289,15,0.054,15.63,12.82
authzforce_0110.xml,authzforce,1,0.9582,1.0,0.556,10,0.688,0.8493,1.0,0.6309,10,0.029,0.8287,1.0,0.6289,15,0.057,15.63,12.82
authzforce_0111.xml,authzforce,1,0.9582,1.0,0.556,10,0.736,0.8493,1.0,0.6309,10,0.031,0.8287,1.0,0.6289,15,0.063,15.63,12.82
authzforce_0112.xml,authzforce,1,0.9582,1.0,0.556,10,0.726,0.8493,1.0,0.6309,10,0.03,0.8287,1.0,0.6289,15,0.065,15.63,12.82
authzforce_0113.xml,authzforce,1,0.9582,1.0,0.556,10,0.711,0.8493,1.0,0.6309,10,0.036,0.8287,1.0,0.6289,15,0.059,15.63,12.82
authzforce_0114.xml,authzforce,1,0.9582,1.0,0.556,10,0.678,0.8493,1.0,0.6309,10,0.032,0.8287,1.0,0.6289,15,0.055,15.63,12.82
authzforce_0115.xml,authzforce,1,0.9582,1.0,0.556,10,0.711,0.8493,1.0,0.6309,10,0.03,0.8287,1.0,0.6289,15,0.057,15.63,12.82
authzforce_0116.xml,authzforce,1,0.9582,1.0,0.556,10,0.935,0.8493,1.0,0.6309,10,0.035,0.8287,1.0,0.6289,15,0.055,15.63,12.82
authzforce_0117.xml,authzforce,1,0.9582,1.0,0.556,10,0.691,0.8493,1.0,0.6309,10,0.033,0.8287,1.0,0.6289,15,0.064,15.63,12.82
authzforce_0118.xml,authzforce,1,0.9582,1.0,0.556,10,0.699,0.8493,1.0,0.6309,10,0.032,0.8287,1.0,0.6289,15,0.056,15.63,12.82
authzforce_0119.xml,authzforce,1,0.9582,1.0,0.556,10,0.709,0.8493,1.0,0.6309,10,0.033,0.8287,1.0,0.6289,15,0.055,15.63,12.82
authzforce_0120.xml,authzforce,1,0.9582,1.0,0.556,10,0.722,0.8493,1.0,0.6309,10,0.029,0.8287,1.0,0.6289,15,0.058,15.63,12.82
authzforce_0121.xml,authzforce,1,0.9582,1.0,0.556,10,0.684,0.8493,1.0,0.6309,10,0.029,0.8287,1.0,0.6289,15,0.067,15.63,12.82
authzforce_0122.xml,authzforce,1,0.9582,1.0,0.556,10,0.695,0.8493,1.0,0.6309,10,0.034,0.8287,1.0,0.6289,15,0.058,15.63,12.82
authzforce_0123.xml,authzforce,1,0.9582,1.0,0.556,10,0.732,0.8493,1.0,0.6309,10,0.035,0.8287,1.0,0.6289,15,0.083,15.63,12.82
authzforce_0124.xml,authzforce,1,0.9582,1.0,0.556,10,0.757,0.8493,1.0,0.6309,10,0.037,0.8287,1.0,0.6289,15,0.064,15.63,12.82
authzforce_0125.xml,authzforce,1,0.9582,1.0,0.556,10,0.673,0.8493,1.0,0.6309,10,0.045,0.8287,1.0,0.6289,15,0.074,15.63,12.82
authzforce_0126.xml,authzforce,1,0.9582,1.0,0.556,10,0.729,0.8493,1.0,0.6309,10,0.032,0.8287,1.0,0.6289,15,0.053,15.63,12.82
authzforce_0127.xml,authzforce,1,0.9582,1.0,0.556,10,0.727,0.8493,1.0,0.6309,10,0.028,0.8287,1.0,0.6289,15,0.05,15.63,12.82
authzforce_0128.xml,authzforce,1,0.9582,1.0,0.556,10,0.711,0.8493,1.0,0.6309,10,0.041,0.8287,1.0,0.6289,15,0.057,15.63,12.82
authzforce_0129.xml,authzforce,1,0.9582,1.0,0.556,10,0.675,0.8493,1.0,0.6309,10,0.027,0.8287,1.0,0.6289,15,0.058,15.63,12.82
authzforce_0130.xml,authzforce,1,0.9582,1.0,0.556,10,0.764,0.8493,1.0,0.6309,10,0.042,0.8287,1.0,0.6289,15,0.056,15.63,12.82
authzforce_0131.xml,authzforce,1,0.9582,1.0,0.556,10,0.86,0.8493,1.0,0.6309,10,0.059,0.8287,1.0,0.6289,15,0.085,15.63,12.82
